sensor,post-decision,normalizado,milisegundos,decision,ultima_modificacion,raw_minimo,raw_maximo,raw_cuartil1,raw_cuartil2,raw_cuartil3,alpha_minimo,alpha_maximo,alpha_cuartil1,alpha_cuartil2,alpha_cuartil3,beta_minimo,beta_maximo,beta_cuartil1,beta_cuartil2,beta_cuartil3,delta_minimo,delta_maximo,delta_cuartil1,delta_cuartil2,delta_cuartil3,theta_minimo,theta_maximo,theta_cuartil1,theta_cuartil2,theta_cuartil3,gamma_minimo,gamma_maximo,gamma_cuartil1,gamma_cuartil2,gamma_cuartil3
TP9,True,False,0,p,2023-05-24 22:13:32,0.0,1649597.0,136.19048,784.5055,822.7839,-3.470564,3.3688366,0.0,0.0,0.65901995,-3.3787923,2.629875,0.0,0.0,0.53802854,-3.5619411,4.0913587,0.0,0.0,0.60090905,-3.3282535,3.1496458,0.0,0.0,0.42144674,-3.4615107,2.031468,0.0,0.0,0.2030717
TP9,True,False,0,q,2023-05-24 22:13:32,0.0,1649597.0,116.849815,785.31134,818.3516,-3.470564,3.3688366,0.0,0.0,0.655024,-3.3787923,2.629875,0.0,0.0,0.5418974,-3.5619411,4.0913587,0.0,0.0,0.59541196,-3.3282535,3.1496458,0.0,0.0,0.4609995,-3.4615107,2.031468,0.0,0.0,0.21419472
TP10,False,False,500,p,2023-05-24 22:13:32,0.0,1424762.0,150.29305,783.2967,870.32965,-4.0278673,3.0174074,0.0,0.0,0.66439664,-3.7600257,2.6063972,0.0,0.0,0.6135709,-4.7293224,4.0619216,0.0,0.0,0.6688623,-4.2351832,3.1207917,0.0,0.0,0.4856167,-3.7023327,1.994784,0.0,0.0,0.42067948
TP10,False,False,500,q,2023-05-24 22:13:32,0.0,1407033.0,144.65201,785.7143,837.6923,-4.010078,3.0166652,0.0,0.0,0.6470988,-3.7600257,2.5687404,0.0,0.0,0.58871454,-4.7293224,4.0429745,0.0,0.0,0.61209255,-4.2351832,3.0838258,0.0,0.0,0.46686658,-3.7023327,1.9813784,0.0,0.0,0.35633713
TP10,True,False,0,p,2023-05-24 22:13:32,0.0,1627033.0,201.06227,787.326,846.1539,-4.0278673,3.0174074,0.0,0.17488408,0.69401085,-3.7600257,2.6063972,0.0,0.22920159,0.62114465,-4.7293224,4.0619216,0.0,0.0040465454,0.6384615,-4.2351832,3.1207917,0.0,0.0,0.4896546,-3.7023327,1.994784,0.0,0.0,0.42152837
TP10,True,False,0,q,2023-05-24 22:13:32,0.0,1464652.0,157.14285,788.1319,829.6337,-4.010078,3.026766,0.0,0.12975368,0.6620129,-3.7600257,2.6293705,0.0,0.17300573,0.60007685,-4.7293224,4.1095366,0.0,0.0,0.60538006,-4.2351832,3.137451,0.0,0.0,0.44584927,-3.7023327,2.0412056,0.0,0.0,0.35770682
AF7,False,False,7000,p,2023-05-24 22:13:32,0.0,978315.0,782.49084,794.9817,806.26373,-0.77108246,3.0123022,0.10511273,0.29281163,0.48873007,-0.6061647,716.0,0.049402013,0.26289862,0.53386265,-1.2236408,3.7645056,0.03362785,0.3751383,0.73032606,-1.1591393,196.0,-0.088383354,0.12968896,0.41181523,-1.0493729,1.6692945,-0.20819055,0.015601662,0.34747243
AF7,False,False,7000,q,2023-05-24 22:13:32,0.0,1152381.0,782.0879,794.9817,806.26373,-0.74618196,2.8411624,0.10909347,0.29865453,0.5032363,-0.6843119,716.0,0.067416325,0.272281,0.5415084,-0.94981176,3.410543,0.035492126,0.37673438,0.73306894,-1.3471783,2.4643571,-0.07820357,0.14135498,0.41854843,-1.1536554,1.5615307,-0.18291013,0.03538461,0.3460871
AF7,True,False,0,p,2023-05-24 22:13:32,0.0,1152381.0,784.10254,795.38464,806.6667,-1.1518157,2.7881663,0.07075531,0.24493119,0.43519738,-0.6843119,716.0,0.060220473,0.26253343,0.5499316,-0.8839609,3.3304386,-0.05427323,0.20421252,0.5620153,-0.9372905,2.3869536,-0.15206127,0.019991428,0.27166516,-1.067935,1.6286527,-0.18479922,0.04632492,0.3523222
AF7,True,False,0,q,2023-05-24 22:13:32,0.0,897326.0,781.685,794.57874,806.26373,-0.56136715,2.4051852,0.079755895,0.25822535,0.45683166,-0.6899783,1.7677162,0.054183546,0.27429843,0.55225223,-0.95329285,2.9357789,-0.048822574,0.18641794,0.5728932,-0.93267596,1.98489,-0.14310998,0.029161658,0.31782106,-1.033676,1.6142617,-0.17532712,0.040466994,0.3669766
